	path	effect_type	effect_allele	other_allele	effect_size	standard_error	pvalue	chr_name	start_pos	end_pos	var_id	chrpos	chrpos_spec	start_anchor	end_anchor	pvalue_logged	sep	compression	group	drop	notes	phenotype	unit	no_cases	samplesize	url	metabolite	full_name	filename
leucine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/leucine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Leucine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	leucine	Leucine 	bioa_011.txt.gz
lysine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Lysine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysine	Lysine 	bioa_012.txt.gz
methionine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/methionine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Methionine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	methionine	Methionine 	bioa_013.txt.gz
ornithine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/ornithine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Ornithine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	ornithine	Ornithine 	bioa_014.txt.gz
phenylethylamine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/phenylethylamine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Phenylethylamine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	phenylethylamine	Phenylethylamine 	bioa_015.txt.gz
phenylalanine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/phenylalanine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Phenylalanine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	phenylalanine	Phenylalanine 	bioa_016.txt.gz
proline	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/proline_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Proline 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	proline	Proline 	bioa_017.txt.gz
serine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/serine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Serine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	serine	Serine 	bioa_018.txt.gz
threonine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/threonine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Threonine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	threonine	Threonine 	bioa_019.txt.gz
tryptophan	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/tryptophan_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Tryptophan 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	tryptophan	Tryptophan 	bioa_020.txt.gz
tyrosine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/tyrosine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Tyrosine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	tyrosine	Tyrosine 	bioa_021.txt.gz
valine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/valine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Valine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	valine	Valine 	bioa_022.txt.gz
acetylornithine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/acetylornithine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Acetylornithine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	acetylornithine	Acetylornithine 	bioa_023.txt.gz
symmetric_dimethylarginine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/symmetric_dimethylarginine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Symmetric dimethylarginine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	symmetric_dimethylarginine	Symmetric dimethylarginine 	bioa_024.txt.gz
alpha_aminoadipic_acid	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/alpha_aminoadipic_acid_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	alpha-Aminoadipic acid 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	alpha_aminoadipic_acid	alpha-Aminoadipic acid 	bioa_025.txt.gz
creatinine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/creatinine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Creatinine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	creatinine	Creatinine 	bioa_026.txt.gz
kynurenine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/kynurenine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Kynurenine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	kynurenine	Kynurenine 	bioa_027.txt.gz
methioninesulfoxide	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/methioninesulfoxide_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Methioninesulfoxide 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	methioninesulfoxide	Methioninesulfoxide 	bioa_028.txt.gz
cis_hydroxyproline	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/cis_hydroxyproline_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	cis-Hydroxyproline 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	cis_hydroxyproline	cis-Hydroxyproline 	bioa_029.txt.gz
trans_hydroxyproline	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/trans_hydroxyproline_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	trans-Hydroxyproline 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	trans_hydroxyproline	trans-Hydroxyproline 	bioa_030.txt.gz
sarcosine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sarcosine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Sarcosine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sarcosine	Sarcosine 	bioa_031.txt.gz
serotonin	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/serotonin_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Serotonin 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	serotonin	Serotonin 	bioa_032.txt.gz
spermidine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/spermidine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Spermidine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	spermidine	Spermidine 	bioa_033.txt.gz
taurine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/taurine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Taurine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	taurine	Taurine 	bioa_034.txt.gz
carnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/carnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Carnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	carnitine	Carnitine 	bior_001.txt.gz
acetylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/acetylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Acetylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	acetylcarnitine	Acetylcarnitine 	bior_002.txt.gz
propionylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/propionylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Propionylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	propionylcarnitine	Propionylcarnitine 	bior_003.txt.gz
propenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/propenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Propenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	propenoylcarnitine	Propenoylcarnitine 	bior_004.txt.gz
hydroxypropionylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxypropionylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxypropionylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxypropionylcarnitine	Hydroxypropionylcarnitine 	bior_005.txt.gz
butyrylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/butyrylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Butyrylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	butyrylcarnitine	Butyrylcarnitine 	bior_006.txt.gz
butenylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/butenylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Butenylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	butenylcarnitine	Butenylcarnitine 	bior_007.txt.gz
hydroxyvalerylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxyvalerylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxyvalerylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxyvalerylcarnitine	Hydroxyvalerylcarnitine 	bior_008.txt.gz
valerylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/valerylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Valerylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	valerylcarnitine	Valerylcarnitine 	bior_009.txt.gz
tigylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/tigylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Tigylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	tigylcarnitine	Tigylcarnitine 	bior_010.txt.gz
glutaconylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/glutaconylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Glutaconylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	glutaconylcarnitine	Glutaconylcarnitine 	bior_011.txt.gz
glutarylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/glutarylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Glutarylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	glutarylcarnitine	Glutarylcarnitine 	bior_012.txt.gz
methylglutarylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/methylglutarylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Methylglutarylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	methylglutarylcarnitine	Methylglutarylcarnitine 	bior_013.txt.gz
hydroxybutyrylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxybutyrylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxybutyrylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxybutyrylcarnitine	Hydroxybutyrylcarnitine 	bior_014.txt.gz
hexanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hexanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hexanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hexanoylcarnitine	Hexanoylcarnitine 	bior_015.txt.gz
hexenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hexenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hexenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hexenoylcarnitine	Hexenoylcarnitine 	bior_016.txt.gz
pimelylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pimelylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Pimelylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pimelylcarnitine	Pimelylcarnitine 	bior_017.txt.gz
octanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/octanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Octanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	octanoylcarnitine	Octanoylcarnitine 	bior_018.txt.gz
nonaylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/nonaylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Nonaylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	nonaylcarnitine	Nonaylcarnitine 	bior_019.txt.gz
decanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/decanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Decanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	decanoylcarnitine	Decanoylcarnitine 	bior_020.txt.gz
decenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/decenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Decenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	decenoylcarnitine	Decenoylcarnitine 	bior_021.txt.gz
decadienylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/decadienylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Decadienylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	decadienylcarnitine	Decadienylcarnitine 	bior_022.txt.gz
dodecanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/dodecanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Dodecanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	dodecanoylcarnitine	Dodecanoylcarnitine 	bior_023.txt.gz
dodecanedioylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/dodecanedioylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Dodecanedioylcarnitine	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	dodecanedioylcarnitine	Dodecanedioylcarnitine	bior_024.txt.gz
dodecenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/dodecenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Dodecenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	dodecenoylcarnitine	Dodecenoylcarnitine 	bior_025.txt.gz
tetradecanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/tetradecanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Tetradecanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	tetradecanoylcarnitine	Tetradecanoylcarnitine 	bior_026.txt.gz
tetradecenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/tetradecenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Tetradecenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	tetradecenoylcarnitine	Tetradecenoylcarnitine 	bior_027.txt.gz
hydroxytetradecenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxytetradecenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxytetradecenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxytetradecenoylcarnitine	Hydroxytetradecenoylcarnitine 	bior_028.txt.gz
tetradecadienylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/tetradecadienylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Tetradecadienylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	tetradecadienylcarnitine	Tetradecadienylcarnitine 	bior_029.txt.gz
hydroxytetradecadienylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxytetradecadienylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxytetradecadienylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxytetradecadienylcarnitine	Hydroxytetradecadienylcarnitine 	bior_030.txt.gz
hexadecanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hexadecanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hexadecanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hexadecanoylcarnitine	Hexadecanoylcarnitine 	bior_031.txt.gz
hexadecenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hexadecenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hexadecenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hexadecenoylcarnitine	Hexadecenoylcarnitine 	bior_032.txt.gz
hydroxyhexadecenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxyhexadecenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxyhexadecenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxyhexadecenoylcarnitine	Hydroxyhexadecenoylcarnitine 	bior_033.txt.gz
hexadecadienylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hexadecadienylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hexadecadienylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hexadecadienylcarnitine	Hexadecadienylcarnitine 	bior_034.txt.gz
hydoxyhexadecadienylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydoxyhexadecadienylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydoxyhexadecadienylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydoxyhexadecadienylcarnitine	Hydoxyhexadecadienylcarnitine 	bior_035.txt.gz
hydroxyhexadecanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxyhexadecanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxyhexadecanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxyhexadecanoylcarnitine	Hydroxyhexadecanoylcarnitine 	bior_036.txt.gz
octadecanoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/octadecanoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Octadecanoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	octadecanoylcarnitine	Octadecanoylcarnitine 	bior_037.txt.gz
octadecenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/octadecenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Octadecenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	octadecenoylcarnitine	Octadecenoylcarnitine 	bior_038.txt.gz
hydroxyoctadecenoylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hydroxyoctadecenoylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hydroxyoctadecenoylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hydroxyoctadecenoylcarnitine	Hydroxyoctadecenoylcarnitine 	bior_039.txt.gz
octadecandienylcarnitine	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/octadecandienylcarnitine_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Octadecandienylcarnitine 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	octadecandienylcarnitine	Octadecandienylcarnitine 	bior_040.txt.gz
lysopc_a_c14_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c14_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C14:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c14_0	lysoPC a C14:0 	bior_041.txt.gz
lysopc_a_c16_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c16_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C16:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c16_1	lysoPC a C16:1 	bior_042.txt.gz
lysopc_a_c17_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c17_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C17:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c17_0	lysoPC a C17:0 	bior_043.txt.gz
